"datefloor(@timestamp - 21600000, 24h) + 21600000",total_events
2025-12-31 06:00:00.000,641
2025-12-30 06:00:00.000,711
2025-12-29 06:00:00.000,580
2025-12-28 06:00:00.000,134
2025-12-27 06:00:00.000,163
2025-12-26 06:00:00.000,255
2025-12-25 06:00:00.000,64
2025-12-24 06:00:00.000,93
2025-12-23 06:00:00.000,178
2025-12-22 06:00:00.000,182
2025-12-21 06:00:00.000,61
2025-12-20 06:00:00.000,59
2025-12-19 06:00:00.000,156
2025-12-18 06:00:00.000,145
2025-12-17 06:00:00.000,259
2025-12-16 06:00:00.000,227
2025-12-15 06:00:00.000,187
2025-12-14 06:00:00.000,54
2025-12-13 06:00:00.000,54
2025-12-12 06:00:00.000,108
2025-12-11 06:00:00.000,129
2025-12-10 06:00:00.000,95
2025-12-09 06:00:00.000,108
2025-12-08 06:00:00.000,119
2025-12-07 06:00:00.000,20
2025-12-06 06:00:00.000,44
2025-12-05 06:00:00.000,84
2025-12-04 06:00:00.000,57
2025-12-03 06:00:00.000,97
2025-12-02 06:00:00.000,84
2025-12-01 06:00:00.000,116
2025-11-30 06:00:00.000,81
2025-11-29 06:00:00.000,95
2025-11-28 06:00:00.000,148
2025-11-27 06:00:00.000,111
2025-11-26 06:00:00.000,135
2025-11-25 06:00:00.000,134
2025-11-24 06:00:00.000,129
2025-11-23 06:00:00.000,30
2025-11-22 06:00:00.000,53
2025-11-21 06:00:00.000,84
2025-11-20 06:00:00.000,98
2025-11-19 06:00:00.000,111
2025-11-18 06:00:00.000,213
2025-11-17 06:00:00.000,123
2025-11-16 06:00:00.000,58
2025-11-15 06:00:00.000,73
2025-11-14 06:00:00.000,184
2025-11-13 06:00:00.000,124
2025-11-12 06:00:00.000,95
2025-11-11 06:00:00.000,82
2025-11-10 06:00:00.000,88
2025-11-09 06:00:00.000,20
2025-11-08 06:00:00.000,19
2025-11-07 06:00:00.000,83
2025-11-06 06:00:00.000,81
2025-11-05 06:00:00.000,73
2025-11-04 06:00:00.000,83
2025-11-03 06:00:00.000,100
2025-11-02 06:00:00.000,13
2025-11-01 06:00:00.000,16
2025-10-31 06:00:00.000,124
2025-10-30 06:00:00.000,64
2025-10-29 06:00:00.000,102
2025-10-28 06:00:00.000,64
2025-10-27 06:00:00.000,63
2025-10-26 06:00:00.000,21
2025-10-25 06:00:00.000,33
2025-10-24 06:00:00.000,80
2025-10-23 06:00:00.000,41
2025-10-22 06:00:00.000,57
2025-10-21 06:00:00.000,250
2025-10-20 06:00:00.000,163
2025-10-19 06:00:00.000,30
2025-10-18 06:00:00.000,71
2025-10-17 06:00:00.000,321
2025-10-16 06:00:00.000,258
2025-10-15 06:00:00.000,232
2025-10-14 06:00:00.000,229
2025-10-13 06:00:00.000,265
2025-10-12 06:00:00.000,41
2025-10-11 06:00:00.000,42
2025-10-10 06:00:00.000,293
2025-10-09 06:00:00.000,227
2025-10-08 06:00:00.000,255
2025-10-07 06:00:00.000,256
2025-10-06 06:00:00.000,331
2025-10-05 06:00:00.000,18
2025-10-04 06:00:00.000,34
2025-10-03 06:00:00.000,229
2025-10-02 06:00:00.000,279
2025-10-01 06:00:00.000,214
2025-09-30 06:00:00.000,128
2025-09-29 06:00:00.000,177
2025-09-28 06:00:00.000,13
2025-09-27 06:00:00.000,62
2025-09-26 06:00:00.000,81
2025-09-25 06:00:00.000,311
2025-09-24 06:00:00.000,317
2025-09-23 06:00:00.000,395
2025-09-22 06:00:00.000,342
2025-09-21 06:00:00.000,19
2025-09-20 06:00:00.000,24
2025-09-19 06:00:00.000,95
2025-09-18 06:00:00.000,438
2025-09-17 06:00:00.000,400
2025-09-16 06:00:00.000,66
2025-09-15 06:00:00.000,244
2025-09-14 06:00:00.000,20
2025-09-13 06:00:00.000,124
2025-09-12 06:00:00.000,196
2025-09-11 06:00:00.000,248
2025-09-10 06:00:00.000,303
2025-09-09 06:00:00.000,263
2025-09-08 06:00:00.000,196
2025-09-07 06:00:00.000,21
2025-09-06 06:00:00.000,48
2025-09-05 06:00:00.000,202
2025-09-04 06:00:00.000,273
2025-09-03 06:00:00.000,184
2025-09-02 06:00:00.000,211
2025-09-01 06:00:00.000,184
2025-08-31 06:00:00.000,29
2025-08-30 06:00:00.000,126
2025-08-29 06:00:00.000,177
2025-08-28 06:00:00.000,393
2025-08-27 06:00:00.000,329
2025-08-26 06:00:00.000,550
2025-08-25 06:00:00.000,198
2025-08-24 06:00:00.000,18
2025-08-23 06:00:00.000,30
2025-08-22 06:00:00.000,270
2025-08-21 06:00:00.000,326
2025-08-20 06:00:00.000,291
2025-08-19 06:00:00.000,282
2025-08-18 06:00:00.000,547
2025-08-17 06:00:00.000,38
2025-08-16 06:00:00.000,143
2025-08-15 06:00:00.000,249
2025-08-14 06:00:00.000,149
2025-08-13 06:00:00.000,329
2025-08-12 06:00:00.000,476
2025-08-11 06:00:00.000,345
2025-08-10 06:00:00.000,77
2025-08-09 06:00:00.000,132
2025-08-08 06:00:00.000,456
2025-08-07 06:00:00.000,271
2025-08-06 06:00:00.000,233
2025-08-05 06:00:00.000,230
2025-08-04 06:00:00.000,347
2025-08-03 06:00:00.000,13
2025-08-02 06:00:00.000,145
2025-08-01 06:00:00.000,392
2025-07-31 06:00:00.000,504
2025-07-30 06:00:00.000,225
2025-07-29 06:00:00.000,321
2025-07-28 06:00:00.000,507
2025-07-27 06:00:00.000,19
2025-07-26 06:00:00.000,147
2025-07-25 06:00:00.000,316
2025-07-24 06:00:00.000,387
2025-07-23 06:00:00.000,460
2025-07-22 06:00:00.000,428
2025-07-21 06:00:00.000,407
2025-07-20 06:00:00.000,103
2025-07-19 06:00:00.000,141
2025-07-18 06:00:00.000,586
2025-07-17 06:00:00.000,888
2025-07-16 06:00:00.000,505
2025-07-15 06:00:00.000,362
2025-07-14 06:00:00.000,451
2025-07-13 06:00:00.000,112
2025-07-12 06:00:00.000,198
2025-07-11 06:00:00.000,505
2025-07-10 06:00:00.000,617
2025-07-09 06:00:00.000,475
2025-07-08 06:00:00.000,822
2025-07-07 06:00:00.000,576
2025-07-06 06:00:00.000,28
2025-07-05 06:00:00.000,122
2025-07-04 06:00:00.000,381
2025-07-03 06:00:00.000,539
2025-07-02 06:00:00.000,433
2025-07-01 06:00:00.000,453
2025-06-30 06:00:00.000,316
2025-06-29 06:00:00.000,52
2025-06-28 06:00:00.000,75
2025-06-27 06:00:00.000,197
2025-06-26 06:00:00.000,361
2025-06-25 06:00:00.000,351
2025-06-24 06:00:00.000,430
2025-06-23 06:00:00.000,376
2025-06-22 06:00:00.000,23
2025-06-21 06:00:00.000,93
2025-06-20 06:00:00.000,682
2025-06-19 06:00:00.000,516
2025-06-18 06:00:00.000,476
2025-06-17 06:00:00.000,339
2025-06-16 06:00:00.000,224
2025-06-15 06:00:00.000,18
2025-06-14 06:00:00.000,85
2025-06-13 06:00:00.000,143
2025-06-12 06:00:00.000,154
2025-06-11 06:00:00.000,256
2025-06-10 06:00:00.000,201
2025-06-09 06:00:00.000,318
2025-06-08 06:00:00.000,20
2025-06-06 06:00:00.000,253
2025-06-05 06:00:00.000,229
2025-06-04 06:00:00.000,179
2025-06-03 06:00:00.000,138
2025-06-02 06:00:00.000,292
2025-06-01 06:00:00.000,26
2025-05-31 06:00:00.000,20
2025-05-30 06:00:00.000,445
2025-05-29 06:00:00.000,428
2025-05-28 06:00:00.000,306
2025-05-27 06:00:00.000,77
2025-05-26 06:00:00.000,120
2025-05-25 06:00:00.000,10
2025-05-24 06:00:00.000,26
2025-05-23 06:00:00.000,179
2025-05-22 06:00:00.000,95
2025-05-21 06:00:00.000,114
2025-05-20 06:00:00.000,211
2025-05-19 06:00:00.000,289
2025-05-18 06:00:00.000,33
2025-05-17 06:00:00.000,41
2025-05-16 06:00:00.000,192
2025-05-15 06:00:00.000,188
2025-05-14 06:00:00.000,277
2025-05-13 06:00:00.000,243
2025-05-12 06:00:00.000,208
2025-05-11 06:00:00.000,16
2025-05-10 06:00:00.000,29
2025-05-09 06:00:00.000,199
2025-05-08 06:00:00.000,395
2025-05-07 06:00:00.000,508
2025-05-06 06:00:00.000,308
2025-05-05 06:00:00.000,347
2025-05-04 06:00:00.000,21
2025-05-03 06:00:00.000,62
2025-05-02 06:00:00.000,461
2025-05-01 06:00:00.000,43
2025-04-30 06:00:00.000,280
2025-04-29 06:00:00.000,466
2025-04-28 06:00:00.000,145
2025-04-27 06:00:00.000,14
2025-04-26 06:00:00.000,54
2025-04-25 06:00:00.000,119
2025-04-24 06:00:00.000,129
2025-04-23 06:00:00.000,149
2025-04-22 06:00:00.000,229
2025-04-21 06:00:00.000,243
2025-04-20 06:00:00.000,18
2025-04-19 06:00:00.000,54
2025-04-18 06:00:00.000,31
2025-04-17 06:00:00.000,67
2025-04-16 06:00:00.000,220
2025-04-15 06:00:00.000,234
2025-04-14 06:00:00.000,305
2025-04-13 06:00:00.000,27
2025-04-12 06:00:00.000,58
2025-04-11 06:00:00.000,212
2025-04-10 06:00:00.000,260
2025-04-09 06:00:00.000,411
2025-04-08 06:00:00.000,343
2025-04-07 06:00:00.000,349
2025-04-06 06:00:00.000,24
2025-04-05 06:00:00.000,105
2025-04-04 06:00:00.000,266
2025-04-03 06:00:00.000,442
2025-04-02 06:00:00.000,568
2025-04-01 06:00:00.000,544
2025-03-31 06:00:00.000,1265
2025-03-30 06:00:00.000,224
2025-03-29 06:00:00.000,324
2025-03-28 06:00:00.000,499
2025-03-27 06:00:00.000,552
2025-03-26 06:00:00.000,531
2025-03-25 06:00:00.000,359
2025-03-24 06:00:00.000,303
2025-03-23 06:00:00.000,195
2025-03-22 06:00:00.000,105
2025-03-21 06:00:00.000,393
2025-03-20 06:00:00.000,356
2025-03-19 06:00:00.000,377
2025-03-18 06:00:00.000,427
2025-03-17 06:00:00.000,147
2025-03-16 06:00:00.000,48
2025-03-15 06:00:00.000,126
2025-03-14 06:00:00.000,500
2025-03-13 06:00:00.000,404
2025-03-12 06:00:00.000,348
2025-03-11 06:00:00.000,584
2025-03-10 06:00:00.000,502
2025-03-09 06:00:00.000,48
2025-03-08 06:00:00.000,332
2025-03-07 06:00:00.000,309
2025-03-06 06:00:00.000,497
2025-03-05 06:00:00.000,410
2025-03-04 06:00:00.000,618
2025-03-03 06:00:00.000,688
2025-03-02 06:00:00.000,65
2025-03-01 06:00:00.000,160
2025-02-28 06:00:00.000,983
2025-02-27 06:00:00.000,691
2025-02-26 06:00:00.000,437
2025-02-25 06:00:00.000,412
2025-02-24 06:00:00.000,280
2025-02-23 06:00:00.000,88
2025-02-22 06:00:00.000,123
2025-02-21 06:00:00.000,209
2025-02-20 06:00:00.000,211
2025-02-19 06:00:00.000,450
2025-02-18 06:00:00.000,270
2025-02-17 06:00:00.000,434
2025-02-16 06:00:00.000,59
2025-02-15 06:00:00.000,87
2025-02-14 06:00:00.000,200
2025-02-13 06:00:00.000,300
2025-02-12 06:00:00.000,312
2025-02-11 06:00:00.000,271
2025-02-10 06:00:00.000,323
2025-02-09 06:00:00.000,71
2025-02-08 06:00:00.000,113
2025-02-07 06:00:00.000,227
2025-02-06 06:00:00.000,329
2025-02-05 06:00:00.000,347
2025-02-04 06:00:00.000,497
2025-02-03 06:00:00.000,312
2025-02-02 06:00:00.000,128
2025-02-01 06:00:00.000,288
2025-01-31 06:00:00.000,4411
2025-01-30 06:00:00.000,3659
2025-01-29 06:00:00.000,2931
2025-01-28 06:00:00.000,2915
2025-01-27 06:00:00.000,1961
2025-01-26 06:00:00.000,671
2025-01-25 06:00:00.000,654
2025-01-24 06:00:00.000,975
2025-01-23 06:00:00.000,1147
2025-01-22 06:00:00.000,1562
2025-01-21 06:00:00.000,1158
2025-01-20 06:00:00.000,1124
2025-01-19 06:00:00.000,501
2025-01-18 06:00:00.000,579
2025-01-17 06:00:00.000,1112
2025-01-16 06:00:00.000,1568
2025-01-15 06:00:00.000,1745
2025-01-14 06:00:00.000,1678
2025-01-13 06:00:00.000,1674
2025-01-12 06:00:00.000,652
2025-01-11 06:00:00.000,635
2025-01-10 06:00:00.000,1233
2025-01-09 06:00:00.000,1516
2025-01-08 06:00:00.000,1270
2025-01-07 06:00:00.000,1201
2025-01-06 06:00:00.000,1260
2025-01-05 06:00:00.000,460
2025-01-04 06:00:00.000,853
2025-01-03 06:00:00.000,1153
2025-01-02 06:00:00.000,1385
2025-01-01 06:00:00.000,60
